Found DRS4 evaluation board, serial #2533, firmware revision 21305
 58         1498827994348    1 457.196  75.6     0 -100     8.6      1 458.323  38.1     0 -100     8.9     
 59         1498827996497    1 468.216  39       0 -100     4.6      1 462.249  52.3     1 462.253  43.1    
 60         1498828010528    1 456.746  84.5     0 -100     7.1      0 -100     7.5      1 464.94   40.2    
 61         1498828011084    1 448.129  147.7    0 -100     5.8      0 -100     6.5      1 456.134  66.9    
 62         1498828011620    1 460.898  65.4     0 -100     5.9      1 470.961  22.4     0 -100     10      
 63         1498828020179    1 468.589  28.2     0 -100     8.7      1 463.731  43.8     1 460.574  292.1   
 64         1498828031259    1 469.224  22.4     0 -100     8.1      1 462.223  130.7    1 461.255  191     
 65         1498828033586    1 464.126  49.8     0 -100     8.3      1 462.854  133.8    0 -100     10      
 66         1498828037569    1 452.554  123.9    0 -100     8.1      1 460.406  42.1     0 -100     8.7     
 67         1498828044470    1 459.172  54.2     1 463.043  45.4     0 -100     7.8      0 -100     9.4     
 68         1498828046620    1 468.123  24.8     0 -100     8.3      1 469.774  37.9     0 -100     9.1     
 69         1498828054112    1 464.809  46.6     0 -100     19.9     1 1008.96  21       1 1006.88  21.1    
 70         1498828058006    1 468.061  25.4     1 471.255  30.4     0 -100     8        0 -100     9.8     
 71         1498828060243    1 470.677  20.1     0 -100     18.9     1 1010.83  20.5     1 1010.82  20.1    
 72         1498828063495    1 469.232  25.6     1 457.8    96.4     0 -100     7.8      1 463.467  39.1    
 73         1498828069649    1 468.18   31.7     0 -100     7.5      0 -100     6.8      1 460.669  59.3    
 74         1498828090444    1 468.264  27.7     0 -100     7.2      0 -100     6.2      1 459.784  58.8    
 75         1498828118959    1 441.921  188.5    0 -100     20       0 -100     19.7     1 1010.82  20.9    
 76         1498828128171    1 470.592  27.5     0 -100     7        0 -100     7.3      1 472.975  26.6    
 77         1498828129516    1 465.174  41       0 -100     20       1 0.0469   21.4     1 0.0615   21.1    
 78         1498828135452    1 464.324  47.4     0 -100     9        1 472.369  21.4     0 -100     10      
 79         1498828140813    1 462.952  49.1     0 -100     15.9     1 456.704  135.3    1 455.754  127.4   
 80         1498828164225    1 464.402  36.2     0 -100     7.6      0 -100     6.3      1 463.635  46.7    
 81         1498828165421    1 463.75   35.7     0 -100     6.8      0 -100     8.3      1 463.733  28.7    
 82         1498828167880    1 456.515  67.9     0 -100     6.2      0 -100     8        1 459.203  37.9    
 83         1498828176767    1 463.334  35.1     1 468.79   38.6     0 -100     6.4      0 -100     8.2     
 84         1498828188047    1 457.274  66.3     0 -100     8.8      1 462.328  103.6    1 471.192  22.9    
 85         1498828205843    1 466.26   29.8     0 -100     8.4      1 464.253  62.5     0 -100     10.2    
 86         1498828233171    1 468.294  23.1     0 -100     8        1 460.419  33.9     1 460.405  47.7    
 87         1498828237981    1 463.14   39.2     1 459.253  192.7    0 -100     8.4      0 -100     9.8     
 88         1498828238484    1 453.534  46.1     0 -100     9        0 -100     7.2      1 452.578  37.1    
 89         1498828241879    1 463.324  49.1     0 -100     8.3      1 470.395  38.8     0 -100     10.1    
 90         1498828243116    1 468.423  26.1     0 -100     9.5      0 -100     8        1 469.344  46.6    
 91         1498828245639    1 469.014  27.8     0 -100     19.5     0 -100     20       1 0.0319   20.4    
 92         1498828252167    1 459.756  52.4     0 -100     6.5      1 462.377  44.8     0 -100     10.1    
 93         1498828253229    1 454.44   113      0 -100     6.3      0 -100     7.9      1 461.174  60.5    
 94         1498828254438    1 469.014  31.9     0 -100     19.4     0 -100     19.1     1 0.0319   20.6    
 95         1498828255876    1 457.579  72       0 -100     8.6      1 464.824  24.4     0 -100     10.3    
 96         1498828273682    1 468.252  27.8     0 -100     9.6      1 463.455  36.3     1 463.437  42.6    
 97         1498828284543    1 463.936  36.2     0 -100     8.7      0 -100     7.9      1 462.244  127.8   
 98         1498828286360    1 498.956  20.1     0 -100     6.2      0 -100     11.8     1 485.957  74.4    
 99         1498828289294    1 454.332  83.8     0 -100     11.3     1 456.541  135.8    0 -100     10.3    
 100        1498828306131    1 467.973  28.6     1 461.778  58.6     0 -100     7.2      0 -100     10.3    
 101        1498828336452    1 467.751  22.1     0 -100     8.1      0 -100     6.5      1 471.891  161.9   
 102        1498828340031    1 459      57       1 460.063  53.5     0 -100     7.1      0 -100     10.1    
 103        1498828368970    1 468.377  26.8     0 -100     7.3      0 -100     8.4      1 465.343  48      
 104        1498828374555    1 468.106  26.1     0 -100     6.3      1 469.956  68.8     0 -100     9.8     
 105        1498828377705    1 459.05   57.4     1 466.733  24.2     0 -100     19.1     0 -100     10.1    
 106        1498828382661    1 450.196  116.9    1 450.255  31.4     0 -100     7.1      0 -100     9.1     
 107        1498828382680    1 465.618  24.1     0 -100     8.4      1 469.882  20.2     0 -100     9.4     
 108        1498828388266    1 498.714  20.7     1 484.71   58.7     1 490.758  27.5     0 -100     11.3    
 109        1498828395968    1 467.139  37.4     0 -100     9        1 469.87   38.4     0 -100     7.4     
 110        1498828403037    1 468.042  31.6     0 -100     8.8      1 461.21   37.8     1 463.071  48.3    
 111        1498828432494    1 464.583  28.7     0 -100     19.7     1 992.866  20.1     1 992.857  21      
 112        1498828436440    1 465.579  36.4     1 457.014  63.4     1 459.444  50.3     0 -100     10.2    
 113        1498828441142    1 469.524  25       0 -100     7.3      1 463.465  63.8     0 -100     9.9     
 114        1498828445932    1 466.192  26.7     1 459.869  37.3     0 -100     7.3      0 -100     9.8     
 115        1498828451526    1 465.91   35.1     1 465.994  62.6     1 466.878  68.2     0 -100     8.3     
 116        1498828453985    1 467.257  29.4     0 -100     18       1 464.381  32       1 461.641  51.7    
 117        1498828465375    1 465.965  39.5     0 -100     16.4     1 471.793  38.9     1 468.838  46.7    
 118        1498828466965    1 462.99   47.5     0 -100     6.8      0 -100     6.6      1 465.844  29.4    
 119        1498828469844    1 465.507  33.2     0 -100     7.3      0 -100     6.6      1 458.408  38.3    
 120        1498828473505    1 463.218  32       1 464.149  25       0 -100     7.6      0 -100     9.8     
 121        1498828482104    1 467.34   24.8     0 -100     6.1      1 467.368  48.4     0 -100     10      
 122        1498828496753    1 456.547  75.7     0 -100     8.5      1 468.223  25.2     0 -100     9.8     
 123        1498828517629    1 456.087  92.6     0 -100     7.6      1 463.841  31.4     0 -100     9.3     
 124        1498828518342    1 439.426  275.9    0 -100     15.6     1 449.451  69.6     0 -100     8.5     
 125        1498828555349    1 465.772  34.1     0 -100     8.5      0 -100     8.5      1 465.775  42.8    
 126        1498828559961    1 466.655  31.8     0 -100     7.6      0 -100     8.3      1 463.861  48.2    
 127        1498828561684    1 495.477  21.8     0 -100     8        0 -100     6.6      1 488.224  38.9    
 128        1498828566464    1 465.3    40       0 -100     8.7      0 -100     7.9      1 469.897  39.7    
 129        1498828574211    1 453.571  98.6     1 454.437  28.1     0 -100     7.1      0 -100     10.9    
 130        1498828594398    1 468.463  28.2     0 -100     7.3      0 -100     7.3      1 469.559  76.4    
 131        1498828615172    1 461.421  47       0 -100     7.5      1 458.171  67.8     1 458.154  72.3    
 132        1498828615874    1 467.292  26.8     0 -100     7.6      0 -100     6.2      1 463.259  42.8    
 133        1498828637589    1 434.637  385.7    0 -100     7.6      0 -100     9        1 447.162  42.6    
 134        1498828640088    1 466.39   32.8     0 -100     8.4      1 468.353  41.5     0 -100     10.5    
 135        1498828649193    1 460.083  41.8     0 -100     17.3     0 -100     10.5     1 458.04   66      
 136        1498828661207    1 468.046  29.2     1 465.374  23.8     0 -100     8.8      0 -100     10.4    
 137        1498828665104    1 467.312  30.8     0 -100     4.3      1 464.371  33.6     1 464.381  33.1    
 138        1498828667274    1 466.72   37.3     0 -100     4.7      0 -100     7        1 465.853  38.7    
 139        1498828677954    1 465.573  33.5     0 -100     8        1 457.403  40.1     0 -100     9       
 140        1498828682208    1 398.274  499.9    1 407.887  55.7     0 -100     11.4     1 409.35   63.5    
